type,value,comment
sha256,08b9f93000512b45f8c2e8d3d6624536b366e67c40fd4b958db58e3a1d129c3d,ConvertMate installer file hash
domain,banifuri.com,C2 domain contacted by ConvertMate installer
domain,chrialletworton.com,Affiliate domain contacted by ConvertMate installer
domain,conmateapp.com,Product website associated with ConvertMate installer
url,https://banifuri.com/get-known-values,C2 configuration fetch URL contacted by ConvertMate installer
url,https://banifuri.com/log,C2 telemetry exfiltration URL contacted by ConvertMate installer
url,https://banifuri.com/pixel,C2 conversion tracking pixel URL contacted by ConvertMate installer
url,https://chrialletworton.com/524c5f6f-7ad4-4468-a535-e7598d5af5a3,Affiliate redirect URL launched by ConvertMate installer
certificate.subject,AMARYLLIS SIGNAL LTD,ConvertMate installer code-signing certificate subject
certificate.issuer,GlobalSign GCC R45 EV CodeSigning CA 2020,ConvertMate installer code-signing certificate issuer
certificate.serial,77632688bc1b58d31bc7df0d,ConvertMate installer code-signing certificate serial
filepath,%LOCALAPPDATA%\ConvertMate\,Install directory created by ConvertMate installer
filepath,%LOCALAPPDATA%\ConvertMate\id.txt,User ID file dropped by ConvertMate installer
filepath,%LOCALAPPDATA%\ConvertMate\Convert Mate.exe,Main app dropped by ConvertMate installer
filepath,%LOCALAPPDATA%\ConvertMate\UpdateRetreiver.exe,Updater dropped by ConvertMate installer
filepath,%LOCALAPPDATA%\ConvertMate\Uninstaller.exe,Uninstaller dropped by ConvertMate installer
filepath,%LOCALAPPDATA%\ConvertMate\favicon.ico,Favicon dropped by ConvertMate installer
filepath,%LOCALAPPDATA%\ConvertMate\conmate_update.ps1,PowerShell script temporarily dropped by ConvertMate installer
filepath,%DESKTOP%\Convert Mate.lnk,Desktop shortcut created by ConvertMate installer
scheduled_task,ConvertMateTask,Scheduled task created by ConvertMate installer for daily updater execution
sha256,09c2af472ab86b62a702e94a39df2bef09205f4249ed871cbeece751c1e7ef4f,ConvertMate updater UpdateRetreiver.exe
domain,confetly.com,ConvertMate updater C2 domain
url,https://confetly.com/auth,ConvertMate updater authentication endpoint
url,https://confetly.com/update,ConvertMate updater encrypted payload download
url,https://confetly.com/is5m,ConvertMate updater success status reporting
url,https://confetly.com/iserr,ConvertMate updater error status reporting
certificate.subject,AMARYLLIS SIGNAL LTD,ConvertMate updater code-signing certificate subject (EV GlobalSign)
certificate.issuer,GlobalSign,ConvertMate updater code-signing certificate issuer
certificate.serial,77632688bc1b58d31bc7df0d,ConvertMate updater code-signing certificate serial
filepath,%APPDATA%\ConvertMate\id.txt,ConvertMate updater reads user ID and install date
filepath,UpdateRetreiver.exe,ConvertMate updater binary filename (misspelled Retriever)
sha256,ecf876ac0225934c183cdf76f55f0ba2d1c5cf86a52d2ba882cdc33eda11f878,Easy2Convert installer main binary
domain,caliberti.com,Easy2Convert installer C2 domain
domain,www.ez2convertapp.com,Easy2Convert installer product website
url,https://caliberti.com/client,Easy2Convert installer C2 configuration endpoint
url,https://caliberti.com/variables,Easy2Convert installer C2 telemetry beacon endpoint
url,https://www.ez2convertapp.com/toconvert-eula,Easy2Convert installer EULA page
url,https://www.ez2convertapp.com/toconvert-privacy,Easy2Convert installer privacy policy page
certificate.subject,BLUE TAKIN LTD,Easy2Convert installer code-signing certificate subject
certificate.issuer,GlobalSign GCC R45 EV CodeSigning CA 2020,Easy2Convert installer code-signing certificate issuer
certificate.serial,0a6047dea944141527d85e24,Easy2Convert installer code-signing certificate serial
filepath,%LOCALAPPDATA%\Easy2Conver\,Easy2Convert installer installation directory
filepath,%LOCALAPPDATA%\Easy2Conver\Easy2Convert.exe,Easy2Convert installer self-copy
filepath,%LOCALAPPDATA%\Easy2Conver\Easy2ConvertUpdater.exe,Easy2Convert installer dropped persistent updater
filepath,%LOCALAPPDATA%\Easy2Conver\Uninstall.exe,Easy2Convert installer dropped uninstaller
filepath,%LOCALAPPDATA%\Easy2Conver\u.txt,Easy2Convert installer persistent UUID tracking file
filepath,%USERPROFILE%\Desktop\Easy2Convert.lnk,Easy2Convert installer desktop shortcut
scheduled_task,Easy2ConvertTask,Easy2Convert installer COM-based scheduled task running every 10 minutes
sha256,27262f4bf8096f04e53309d4ce603cfbeb27ed10abdf1c461d3ccb14e012f61e,Easy2Convert updater binary (Easy2ConvertUpdater.exe)
domain,hiko.lakienti.com,Easy2Convert updater C2 domain
url,https://hiko.lakienti.com/check-for-updates,Easy2Convert updater C2 check-in endpoint
url,https://hiko.lakienti.com/get-update,Easy2Convert updater encrypted payload download endpoint
url,https://hiko.lakienti.com/status-ok,Easy2Convert updater success reporting endpoint
url,https://hiko.lakienti.com/status-bad,Easy2Convert updater failure reporting endpoint
certificate.subject,BLUE TAKIN LTD,Easy2Convert updater code-signing certificate subject
certificate.issuer,GlobalSign,Easy2Convert updater code-signing certificate issuer (EV)
certificate.serial,0a6047dea944141527d85e24,Easy2Convert updater code-signing certificate serial
filepath,%APPDATA%\Easy2Convert\u.txt,Easy2Convert updater user ID and timestamp source file
filepath,Easy2ConvertUpdater.exe,Easy2Convert updater binary filename
sha256,5810795a6596bfe8059a9e499ee5e4b7341207d8eb0b4a4f6dbc6c0f60de71c2,PDF Skills installer PDFSkills.exe
domain,val.skillcli.com,PDF Skills installer C2 config domain
domain,cbn.skillcli.com,PDF Skills installer C2 telemetry domain
domain,visit.keyguardai.com,PDF Skills installer affiliate domain
domain,www.pdfskillsapp.com,PDF Skills installer product/thank-you domain
url,https://val.skillcli.com/v6,PDF Skills installer C2 configuration retrieval (XOR-encrypted)
url,https://cbn.skillcli.com/r,PDF Skills installer telemetry exfiltration (XOR-encrypted)
url,https://visit.keyguardai.com/click?pid=496&offer_id=14039178,PDF Skills installer KeyGuard AI affiliate URL
url,https://www.pdfskillsapp.com/thanks?userid=<GUID>,PDF Skills installer post-install thank-you page
certificate.subject,RED ROOT LTD,PDF Skills installer code signing cert subject
certificate.issuer,GlobalSign GCC R45 EV CodeSigning CA 2020,PDF Skills installer code signing cert issuer
certificate.serial,6838e670ea30dfa3294ea278,PDF Skills installer code signing cert serial (expired 2025-02-26)
filepath,%APPDATA%\PDFSkills\,PDF Skills installer admin install directory
filepath,%LOCALAPPDATA%\PDFSkills\,PDF Skills installer non-admin install directory
filepath,<InstallDir>\Update.exe,PDF Skills installer dropped malware loader stub
filepath,<InstallDir>\Update.dll,PDF Skills installer dropped malware loader DLL
filepath,<InstallDir>\PDFSkillsApp.exe,PDF Skills installer dropped legitimate PDF app
filepath,<InstallDir>\Uninstall.exe,PDF Skills installer dropped uninstaller
filepath,<InstallDir>\Updates.zip,PDF Skills installer dropped (then deleted) payload archive
